Concept_A,Concept_B,Emergent_Meaning,Resonance_Distance
Time,Space,Power,0.7401
Time,Energy,Power,1.0880
Time,Matter,Silence,1.3840
Time,Life,Power,0.9508
Time,Death,Beauty,4.2028
Time,Chaos,Gravity,4.1501
Time,Order,Noise,1.4427
Time,Void,Chaos,2.2649
Time,Light,Power,1.0485
Time,Darkness,Power,1.1298
Time,Gravity,Fractal,3.7357
Time,Entropy,Death,4.0825
Time,Mind,Noise,2.0089
Time,Soul,Power,2.5748
Time,Logic,Silence,2.9283
Time,Fractal,Gravity,3.7435
Time,Geometry,Power,1.3173
Time,Truth,Entropy,4.3426
Time,Beauty,Death,3.1961
Time,Power,Space,1.3780
Time,Silence,Chaos,4.3078
Time,Noise,Death,1.9642
Space,Energy,Power,1.0709
Space,Matter,Power,1.1011
Space,Life,Power,0.9829
Space,Death,Power,1.0233
Space,Chaos,Power,0.7193
Space,Order,Power,1.2000
Space,Void,Power,1.1094
Space,Light,Power,1.0853
Space,Darkness,Power,0.9519
Space,Gravity,Power,0.8553
Space,Entropy,Power,0.9201
Space,Mind,Power,1.1365
Space,Soul,Power,0.9293
Space,Logic,Power,1.1225
Space,Fractal,Power,0.7837
Space,Geometry,Power,1.0623
Space,Truth,Power,0.8807
Space,Beauty,Power,1.0820
Space,Power,Darkness,1.4353
Space,Silence,Power,1.0063
Space,Noise,Power,1.0252
Energy,Matter,Truth,3.2528
Energy,Life,Truth,4.0831
Energy,Death,Power,1.2735
Energy,Chaos,Power,1.0250
Energy,Order,Power,1.3437
Energy,Void,Entropy,3.9529
Energy,Light,Power,0.7707
Energy,Darkness,Power,1.3198
Energy,Gravity,Power,1.3365
Energy,Entropy,Power,1.0467
Energy,Mind,Truth,4.1981
Energy,Soul,Truth,3.2747
Energy,Logic,Truth,3.8355
Energy,Fractal,Death,2.3485
Energy,Geometry,Power,1.1608
Energy,Truth,Power,1.2269
Energy,Beauty,Power,0.9117
Energy,Power,Space,1.5816
Energy,Silence,Power,1.0289
Energy,Noise,Power,1.0066
Matter,Life,Truth,4.3647
Matter,Death,Power,1.3059
Matter,Chaos,Silence,1.3590
Matter,Order,Power,4.3348
Matter,Void,Time,4.2608
Matter,Light,Power,4.3255
Matter,Darkness,Power,1.3994
Matter,Gravity,Death,1.3929
Matter,Entropy,Power,1.0246
Matter,Mind,Truth,4.0707
Matter,Soul,Truth,4.3716
Matter,Logic,Time,4.0450
Matter,Fractal,Death,3.1484
Matter,Geometry,Power,1.0253
Matter,Truth,Power,1.2191
Matter,Beauty,Chaos,2.6797
Matter,Power,Geometry,1.5908
Matter,Silence,Power,1.4272
Matter,Noise,Power,0.7258
Life,Death,Power,1.3842
Life,Chaos,Power,0.7531
Life,Order,Noise,1.0042
Life,Void,Entropy,4.0047
Life,Light,Power,1.0357
Life,Darkness,Power,1.5189
Life,Gravity,Chaos,1.8313
Life,Entropy,Power,0.7669
Life,Mind,Truth,4.3713
Life,Soul,Truth,4.1859
Life,Logic,Truth,4.3725
Life,Fractal,Truth,3.9896
Life,Geometry,Noise,2.4273
Life,Truth,Power,1.1495
Life,Beauty,Power,1.0362
Life,Power,Chaos,1.5787
Life,Silence,Noise,1.5748
Life,Noise,Power,1.0248
Death,Chaos,Silence,3.1158
Death,Order,Noise,2.6193
Death,Void,Silence,1.8691
Death,Light,Power,1.0841
Death,Darkness,Silence,1.2488
Death,Gravity,Beauty,3.9932
Death,Entropy,Time,4.1228
Death,Mind,Noise,2.4772
Death,Soul,Power,0.9767
Death,Logic,Silence,2.0096
Death,Fractal,Beauty,3.5782
Death,Geometry,Silence,1.4695
Death,Truth,Entropy,4.3976
Death,Beauty,Gravity,2.5503
Death,Power,Energy,1.4392
Death,Silence,Chaos,3.1617
Death,Noise,Beauty,2.4102
Chaos,Order,Power,1.0512
Chaos,Void,Silence,1.9427
Chaos,Light,Power,1.0247
Chaos,Darkness,Power,0.8423
Chaos,Gravity,Fractal,4.0090
Chaos,Entropy,Power,1.9651
Chaos,Mind,Power,1.0267
Chaos,Soul,Power,3.3116
Chaos,Logic,Silence,2.4779
Chaos,Fractal,Gravity,3.9789
Chaos,Geometry,Power,1.0226
Chaos,Truth,Power,1.1487
Chaos,Beauty,Silence,2.6342
Chaos,Power,Space,1.4065
Chaos,Silence,Beauty,4.2702
Chaos,Noise,Silence,3.1409
Order,Void,Chaos,2.6251
Order,Light,Chaos,4.1423
Order,Darkness,Noise,1.5727
Order,Gravity,Noise,1.5942
Order,Entropy,Light,2.1936
Order,Mind,Power,0.9403
Order,Soul,Light,1.7689
Order,Logic,Power,3.0240
Order,Fractal,Noise,1.3934
Order,Geometry,Noise,1.6323
Order,Truth,Silence,2.2738
Order,Beauty,Power,2.9475
Order,Power,Energy,1.4731
Order,Silence,Power,1.0099
Order,Noise,Power,0.7099
Void,Light,Power,0.9016
Void,Darkness,Noise,1.3777
Void,Gravity,Chaos,2.2528
Void,Entropy,Power,1.0247
Void,Mind,Truth,4.3523
Void,Soul,Truth,4.3699
Void,Logic,Death,4.1526
Void,Fractal,Death,4.0722
Void,Geometry,Noise,2.4969
Void,Truth,Noise,1.7162
Void,Beauty,Chaos,1.4597
Void,Power,Geometry,1.6482
Void,Silence,Death,2.0930
Void,Noise,Power,0.9708
Light,Darkness,Power,1.0422
Light,Gravity,Power,1.0245
Light,Entropy,Power,1.0597
Light,Mind,Power,1.2578
Light,Soul,Power,1.0254
Light,Logic,Power,3.1205
Light,Fractal,Power,1.0272
Light,Geometry,Power,1.0509
Light,Truth,Power,1.1572
Light,Beauty,Power,2.6510
Light,Power,Energy,1.3939
Light,Silence,Power,1.0243
Light,Noise,Power,0.7088
Darkness,Gravity,Power,0.9610
Darkness,Entropy,Power,0.7358
Darkness,Mind,Power,1.5329
Darkness,Soul,Power,1.1775
Darkness,Logic,Power,1.5036
Darkness,Fractal,Power,1.1389
Darkness,Geometry,Noise,1.3489
Darkness,Truth,Silence,1.4276
Darkness,Beauty,Power,1.0649
Darkness,Power,Space,1.4405
Darkness,Silence,Power,1.0949
Darkness,Noise,Power,1.0237
Gravity,Entropy,Time,4.2145
Gravity,Mind,Death,2.8915
Gravity,Soul,Chaos,4.3995
Gravity,Logic,Death,2.9788
Gravity,Fractal,Time,3.7406
Gravity,Geometry,Power,1.2557
Gravity,Truth,Power,1.3611
Gravity,Beauty,Death,3.5245
Gravity,Power,Soul,1.8128
Gravity,Silence,Chaos,4.2996
Gravity,Noise,Death,2.7163
Entropy,Mind,Noise,2.8055
Entropy,Soul,Truth,3.3272
Entropy,Logic,Power,1.0247
Entropy,Fractal,Gravity,3.3061
Entropy,Geometry,Light,1.7234
Entropy,Truth,Death,4.3601
Entropy,Beauty,Noise,2.0962
Entropy,Power,Space,1.3973
Entropy,Silence,Power,1.0313
Entropy,Noise,Death,2.6702
Mind,Soul,Truth,4.3714
Mind,Logic,Truth,4.2502
Mind,Fractal,Death,3.9623
Mind,Geometry,Power,1.0250
Mind,Truth,Power,1.4494
Mind,Beauty,Death,2.1388
Mind,Power,Geometry,1.6173
Mind,Silence,Power,1.0384
Mind,Noise,Death,2.7087
Soul,Logic,Truth,4.3758
Soul,Fractal,Truth,4.0839
Soul,Geometry,Power,1.4558
Soul,Truth,Power,1.1040
Soul,Beauty,Power,1.5116
Soul,Power,Chaos,1.6612
Soul,Silence,Power,1.2595
Soul,Noise,Power,1.3820
Logic,Fractal,Death,3.9505
Logic,Geometry,Power,1.0082
Logic,Truth,Power,1.0549
Logic,Beauty,Chaos,1.9535
Logic,Power,Geometry,1.5978
Logic,Silence,Chaos,2.5902
Logic,Noise,Power,0.8736
Fractal,Geometry,Power,1.1557
Fractal,Truth,Power,1.0759
