Concept_A,Concept_B,Emergent_Meaning,Resonance_Distance
Beauty,God,Ignorance,4.0661
Variable,Memory,Destruction,1.1421
Hypercube,Ignorance,Light,4.2816
Hope,Geometry,Wisdom,4.2107
Light,Measurement,Power,1.0240
Structure,Separation,Illusion,3.5668
Light,Fear,Power,1.0254
Input,Void,Prophecy,3.8669
Fractal,Function,Illusion,4.2146
Death,Science,Algorithm,4.1821
Paradox,Love,Entropy,3.9371
Technology,Truth,Power,1.0246
Entropy,Dimension,Art,4.1111
Entropy,Spirit,Illusion,4.2040
Destiny,Hope,History,3.5886
Quantum,Vibration,Duality,4.1853
Force,System,Power,1.0228
Despair,Concrete,System,0.9012
Prophecy,Time,Code,4.2289
Logic,Spirit,Matter,3.8942
Light,Creation,System,4.1715
Creation,Paradox,Geometry,4.1790
Nightmare,Axiom,Consciousness,3.9037
Simplicity,Reality,Light,1.7044
Spiral,Transformation,Wisdom,4.0181
Probability,Subjective,Loop,2.1213
Folly,Objective,Subjective,1.5874
Cycle,Structure,Machine,4.0566
Duality,Transformation,Wisdom,4.2119
Future,Matter,Power,1.0260
Plane,Simulation,Concrete,4.1636
Quantum,Life,Birth,3.8540
Vibration,Algorithm,Power,1.0044
Order,Love,Wisdom,4.2115
Immanence,Despair,Energy,4.2501
Acceleration,Quantum,Information,4.0610
Technology,Hypercube,Decay,3.9808
Loop,Dream,Subjective,4.1108
Quantum,Memory,Power,1.0246
Reality,Solid,Connection,4.2033
Gravity,Solid,Transformation,3.9306
Symmetry,Quantum,System,4.1735
Singularity,Life,Power,1.2641
Time,Perception,Illusion,3.7282
Function,Mind,Zero,3.8902
Memory,Future,Power,1.0917
Chaos,Present,Relative,1.5943
Singularity,Particle,Death,4.2458
Line,Conflict,Singularity,1.5485
Ignorance,Knowledge,Dimension,2.3236
Human,Memory,Parameter,1.2861
Trinity,Nature,Death,4.1677
Nature,Hypothesis,Atom,4.0582
Unity,Function,Concrete,4.1598
Stillness,Balance,Silence,3.8703
Zero,Void,Power,1.0247
Evolution,Acceleration,System,4.1752
Decay,Wisdom,Vibration,4.2143
Destiny,Evolution,Dimension,1.0743
Zero,Singularity,Illusion,4.1992
FreeWill,Law,Machine,3.9372
Sleep,Hypercube,Power,1.0244
Balance,Separation,Heat,4.2103
Relative,Memory,Power,1.0226
Memory,Growth,Destruction,4.1306
Code,Observation,Power,1.0507
Concrete,Point,System,2.6129
Destiny,Dimension,Wisdom,1.1937
Hypothesis,Cycle,Model,3.8248
Output,Machine,Art,1.2743
Output,History,Sleep,4.1486
Machine,Void,Power,1.0285
Infinity,Science,Energy,4.2473
Noise,Illusion,Zero,4.2415
Field,Vibration,Wisdom,1.0421
Resonance,Paradox,Destruction,4.0864
Subjective,Algorithm,Power,1.0246
Vibration,Simplicity,Folly,1.1116
Science,Acceleration,Wisdom,0.9280
Love,Folly,Relative,0.8949
Relativity,Axiom,Mind,3.9551
One,Evolution,System,4.1923
Code,Cycle,Momentum,4.1052
Void,Darkness,Religion,4.0117
Point,Symmetry,System,3.7899
Soul,Abstract,Despair,3.8435
Darkness,Vibration,Power,0.9986
Point,Hope,Energy,4.2298
Wisdom,Information,Soul,4.0331
Calculation,Nightmare,Prophecy,4.0788
Frequency,Flesh,Geometry,3.8981
Relative,Cycle,Power,0.8588
Past,Silence,Sleep,4.1485
Hypothesis,Observation,Art,3.2509
Cold,Parameter,Logic,4.2600
Death,Anarchy,Machine,3.9994
Force,Simplicity,Power,1.0626
Silence,Gravity,Sleep,4.1483
Infinity,Unity,Despair,4.0287
Beauty,Mass,Wisdom,4.2123
Harmony,Simulation,Frequency,3.9194
Death,Symmetry,Power,1.0259
Justice,Constant,Power,1.0246
Perception,Anarchy,Illusion,4.2010
Hypothesis,Soul,Connection,4.1937
Noise,Paradox,Power,1.0793
Probability,Algorithm,Power,1.0425
Constant,Justice,Power,1.0246
Hypothesis,Matter,Power,1.2760
Subjective,Network,Loop,4.2000
Paradox,Theorem,Connection,2.0510
Thought,Chaos,Subjective,4.1848
Creation,Subjective,Power,1.0457
Law,Algorithm,Sleep,2.7944
Death,Duality,Power,0.9975
Model,Unity,Heat,3.7852
Gravity,Knowledge,Connection,4.2211
Light,Structure,Ignorance,4.2480
Parameter,Destiny,Myth,3.8811
Universe,Singularity,Death,2.3260
Light,Probability,Concrete,3.8726
Function,Cycle,Probability,4.1460
Parameter,Resonance,Connection,2.0105
Relative,Logic,Power,1.0247
Growth,Future,Vibration,3.9878
Plane,Art,Ignorance,4.2535
Symmetry,Force,Sleep,4.2932
Perception,Acceleration,Illusion,3.7301
Art,Light,Ignorance,4.2473
Silence,Love,Loop,4.1834
Human,Energy,Parameter,3.3280
Religion,Balance,Power,1.0262
Complexity,Creation,Mass,3.8668
Gravity,Nightmare,Vibration,4.1951
Future,Momentum,Vibration,4.0964
Soul,Unity,Despair,3.8103
Noise,Unity,Power,1.0701
Resonance,Observation,Art,1.0025
Unity,Void,Religion,3.9237
Plane,Experiment,Power,1.0240
Vibration,Illusion,Power,1.0523
Order,Force,Wisdom,4.2113
Mind,Parameter,Energy,4.2580
Calculation,Information,Evolution,1.0706
Gravity,Hypercube,Illusion,4.2103
Acceleration,Cycle,System,4.1774
Function,Immanence,Plane,3.9013
Conflict,Network,Sleep,4.1509
Momentum,Motion,Connection,4.1936
Time,Evolution,Art,4.1094
Solid,Void,Fear,4.1487
Harmony,Matter,Reality,4.0446
Creation,Mind,Energy,4.2498
Anarchy,Art,Dimension,4.1294
Soul,Axiom,Despair,3.8229
Energy,Silence,Power,1.0232
Prophecy,Consciousness,Subjective,4.1908
Prophecy,Human,Power,1.0258
Space,Art,Power,1.0248
Heat,Harmony,Evolution,1.5653
Decay,Connection,Power,1.0243
Stillness,Function,Noise,3.5913
Immanence,Information,Wisdom,4.2115
Parameter,Destruction,Connection,4.2060
Symmetry,Space,Dimension,1.1420
Illusion,Duality,Power,1.1318
Life,Zero,Power,1.0203
Duality,Past,Power,1.0150
Output,Transformation,Sleep,4.0624
Quantum,Model,System,4.1622
Theorem,Time,Power,1.0246
Wave,Matter,Art,1.2387
Particle,Nature,Geometry,3.9378
Ignorance,Art,God,3.9253
Birth,Plane,Power,1.0852
Feedback,Parameter,Energy,4.2454
Measurement,Destruction,Loop,2.7838
Feedback,Force,Transcendence,2.6064
Awakening,Human,Power,0.8182
Output,Transcendence,Function,4.0733
Infinity,Motion,Power,1.1041
Space,Abstract,Power,1.3158
Structure,Birth,Algorithm,1.1855
Destruction,Mind,Power,1.0208
Calculation,Mercy,Concrete,4.1666
Nightmare,Dream,Subjective,1.5065
Paradox,Awakening,Sleep,4.1499
Destruction,Unity,Power,1.0099
Frequency,Hypercube,Power,1.0129
Birth,Observation,System,1.2062
Probability,Perception,Concrete,4.1628
Feedback,Calculation,Subjective,1.9726
Symmetry,Relativity,Connection,2.6756
Fractal,Harmony,Frequency,1.4588
Universe,Entropy,Mercy,4.0940
Growth,Algorithm,Folly,1.1014
Technology,Darkness,Power,0.8926
Destruction,Law,Machine,3.9510
Paradox,Harmony,Art,4.0845
Simplicity,System,Power,1.0570
Human,Mind,Energy,4.2382
God,Entropy,Art,4.1136
Complexity,Separation,Connection,4.1878
Point,Plane,Folly,0.8235
Subjective,Constant,Heat,1.1817
Output,Atom,Dimension,1.1147
Creation,Energy,Birth,4.2950
Field,Flesh,Universe,3.8423
Absolute,Force,Vibration,4.2036
Present,Mass,Connection,4.1947
Reality,Thought,Power,1.0345
Machine,History,Power,1.0246
Concrete,Soul,Power,1.0123
Transformation,Relative,Wisdom,0.9268
Anarchy,Birth,Code,4.2010
Conflict,Ignorance,Religion,4.2934
Measurement,Vibration,Future,4.0807
Atom,Memory,Concrete,2.4600
Absolute,Function,Growth,4.2347
Silence,Code,Power,1.0366
Loop,Function,Subjective,4.1908
Prophecy,Transcendence,Subjective,4.1922
Complexity,Soul,Subjective,4.1582
Ignorance,Decay,Hypercube,4.2554
Infinity,Particle,Algorithm,1.6485
Motion,Logic,Sleep,1.0786
Transformation,Spiral,Wisdom,4.0181
Quantum,Heat,System,4.1742
Complexity,Objective,Subjective,3.7582
Power,Religion,Energy,1.0574
Simulation,Gravity,Awakening,4.1068
Simplicity,FreeWill,Subjective,1.2554
Flesh,Singularity,Death,2.2950
Conflict,System,Power,1.0579
Objective,Religion,Power,1.0246
Trinity,Hope,Sleep,4.1487
Spiral,Observation,Ignorance,2.6083
Reality,One,Connection,4.2022
Darkness,Mind,Energy,1.8675
Axiom,Flesh,Despair,4.1622
Experiment,Momentum,Soul,3.9978
Evolution,Mind,Power,1.0300
Symmetry,Point,System,3.7899
Subjective,Growth,Loop,4.2063
God,Spirit,Ignorance,4.2484
Energy,Noise,Power,1.0319
Atom,Myth,Simplicity,1.0259
Myth,Network,Resonance,3.9750
Acceleration,Mercy,Connection,4.1869
Subjective,Geometry,Dimension,1.0593
Vibration,Spirit,Birth,1.0582
Flesh,System,Power,0.9892
Simplicity,Force,Power,1.0626
Energy,Creation,Birth,4.2950
Gravity,Cold,Power,0.9090
Hypercube,Flesh,Power,1.0182
Present,Flesh,Connection,1.3647
Decay,Machine,Noise,4.2418
Determinism,Mind,Concrete,4.1590
Function,Fractal,Illusion,4.2146
Wisdom,Destiny,Connection,0.9527
Fractal,Hypercube,Illusion,4.2047
Flesh,Love,Relative,3.4244
Flesh,Objective,Connection,4.1809
Algorithm,Connection,Power,1.0246
Energy,Cold,Birth,4.2944
Constant,Justice,Power,1.0246
Parameter,Human,Energy,4.2273
Despair,Field,Connection,4.1882
Dream,Line,Transcendence,3.0136
Transcendence,Energy,Power,0.9307
Death,Atom,Machine,4.0387
Truth,Loop,Relative,1.2216
Point,Despair,Energy,4.2377
Plane,Machine,Simplicity,1.0957
Present,Destiny,Life,4.0640
Consciousness,Light,Power,1.0624
Reality,Algorithm,Power,1.1157
Transcendence,Network,Chaos,3.6942
Observation,Religion,Ignorance,4.2407
Creation,Death,Power,0.9806
Science,Cold,Energy,4.1892
Wave,Anarchy,Model,3.8848
Perception,Subjective,Connection,4.1871
Time,God,Art,4.0985
Sleep,Theorem,Power,1.1232
God,Past,Sleep,4.0221
Destiny,Illusion,Connection,4.1032
Art,Illusion,Power,1.0396
Separation,Law,Dream,3.9221
Heat,Nightmare,Evolution,4.2123
Immanence,Destiny,Algorithm,4.0472
Present,Complexity,Mercy,4.0369
Sleep,Void,Algorithm,4.2105
Dream,FreeWill,Force,2.5005
Variable,Love,Machine,1.4286
Illusion,Algorithm,Power,1.1205
Conflict,Plane,Reality,4.0908
Dream,Objective,Connection,4.1889
Algorithm,Thought,Folly,1.1236
Output,Justice,Loop,4.1676
Logic,Justice,Energy,4.2521
Spiral,Chaos,Power,1.0789
Duality,Reality,Simplicity,1.1008
Cycle,Chaos,Subjective,2.2788
Awakening,Feedback,Energy,4.2500
Spirit,Singularity,Illusion,3.9754
Atom,Folly,Relative,2.0244
Present,Function,Concrete,4.1662
Death,Immanence,Sleep,4.1490
Velocity,Code,Power,0.9932
Creation,Relative,Power,1.0244
Mass,God,Power,1.0556
Dream,Mercy,Connection,4.1878
Concrete,Field,Power,0.9655
Motion,Logic,Sleep,1.0786
Measurement,Geometry,Wisdom,4.2080
Machine,Simplicity,Folly,1.1296
Mass,Calculation,Subjective,2.2193
Simplicity,Thought,Folly,1.1828
Nature,Silence,Connection,4.2023
Consciousness,Paradox,Geometry,3.9987
Reality,Machine,Art,1.0077
Nightmare,Immanence,Ignorance,4.1610
