palabra_A,palabra_B,vector_inicial_hash,trayectoria,palabra_final_mas_cercana,distancia_geometrica,tipo_resultado
patrocinas,granizaban,9a874425,9a874425..53266a96,esdrujulizada,1.0156,nuevo_atractor
acusonas,investiras,4f393b90,4f393b90..967270df,amordazaremos,1.8647,nuevo_atractor
enrazaria,sincerarias,a09f5816,a09f5816..3306cb73,coartabas,0.6215,nuevo_atractor
estucan,clareada,20fe858a,20fe858a..87e00551,tapiar,0.8058,nuevo_atractor
optiman,silogizamos,693c482c,693c482c..0df44d61,naturaliceis,1.3141,nuevo_atractor
pujareis,adehesase,470f1f6c,470f1f6c..ed11163c,despiezaste,1.8202,nuevo_atractor
guarnecerias,diferencian,b2823e86,b2823e86..bf628824,bandereasteis,0.7956,nuevo_atractor
barzoneabamos,herventas,dbac2ca7,dbac2ca7..a76472f3,exorarian,1.2960,nuevo_atractor
enguarapetar,encorvaste,ae5db75e,ae5db75e..a7125974,aspillas,1.6624,nuevo_atractor
epitaficos,taconeando,6b5a2fac,6b5a2fac..693429f2,cutusa,0.9549,nuevo_atractor
encalamocarias,desapretados,461c53cb,461c53cb..a97be329,picaramente,0.7240,nuevo_atractor
seduzcais,estandarices,a0773ed6,a0773ed6..2dc70e98,albuminariais,0.8745,nuevo_atractor
coartais,aguadando,cd54c82b,cd54c82b..85929036,decelerabamos,1.2779,nuevo_atractor
dicticos,contramato,d83daf8b,d83daf8b..265e286c,regularizaramos,0.5506,nuevo_atractor
enhilaba,estrumpiese,ac1fb995,ac1fb995..c970dba0,sucos,0.8101,nuevo_atractor
aliaste,galeazas,1f5dfc38,1f5dfc38..6edfe435,reconfortases,0.8343,nuevo_atractor
melindrizabamos,contraseñasteis,9a9f0423,9a9f0423..bb33dc84,asabais,0.7248,nuevo_atractor
querenciosas,estresa,2f8384c4,2f8384c4..59c925d9,aspaventa,0.8633,nuevo_atractor
maderamiento,descosieres,884f17d2,884f17d2..a52b4589,fatalicemos,0.9274,nuevo_atractor
contrariados,descalcais,61a23dbd,61a23dbd..dc28c26d,ejercitado,0.8342,nuevo_atractor
individues,mamparras,656ff919,656ff919..b931932a,violais,1.9238,nuevo_atractor
cedulaje,infestasen,09307e71,09307e71..e2b55a0f,mercantilices,1.1544,nuevo_atractor
galopeemos,coyundeaban,9f8910a2,9f8910a2..c1e94de6,secad,1.6027,nuevo_atractor
mestizarian,coprologico,67b2a5b0,67b2a5b0..dc6231e5,espumeado,1.1112,nuevo_atractor
pactista,acatais,0d53563a,0d53563a..04e5c679,descepares,0.8634,nuevo_atractor
fisgarais,asonanteis,a9951a49,a9951a49..cd30c4a3,apiñaron,0.8994,nuevo_atractor
arrayaces,conreinad,6056931d,6056931d..11a2bb86,desarrimarias,0.7255,nuevo_atractor
titulasemos,velortos,cbfbc808,cbfbc808..a10d42d3,botaneares,1.7318,nuevo_atractor
fornelo,verbenee,d61af7da,d61af7da..ea6706a7,engredaren,0.6615,nuevo_atractor
contingento,cencero,fbee2332,fbee2332..17fa8ab9,desrengaste,0.6385,nuevo_atractor
encrudecemos,hidropicas,952c8f60,952c8f60..7a48f331,valsando,1.6626,nuevo_atractor
interrumpieras,extenuantes,f8bdff89,f8bdff89..df3ef1cb,aprisionan,1.6249,nuevo_atractor
peinamos,desriñones,e34c34a5,e34c34a5..48a3dae6,biosferas,0.8240,nuevo_atractor
achorcholamos,calendarizaseis,67d34efd,67d34efd..9df38d23,evaluariamos,1.9581,nuevo_atractor
enroñaran,vergueareis,5c0644eb,5c0644eb..5ed7c42f,puparemos,1.3639,nuevo_atractor
chapurra,exportareis,4907ecb2,4907ecb2..9e2127be,alcohometria,0.8981,nuevo_atractor
serenes,abochornais,f206e6a1,f206e6a1..5b5550c7,redistribuiria,1.4810,nuevo_atractor
estenografiaste,amorrada,c7df3616,c7df3616..2dfbbdbe,absit,1.2085,nuevo_atractor
desapestaseis,albeara,02a57c0d,02a57c0d..59e0edbc,supresiones,0.6930,nuevo_atractor
desacreditador,polinosis,9f509aa8,9f509aa8..e2e8afed,contentura,1.3152,nuevo_atractor
alucemos,recincharamos,b656d3a3,b656d3a3..563d5b57,apiñaron,0.4582,nuevo_atractor
desplegares,burrajeemos,ed987130,ed987130..1d1b1059,despiezaste,1.2569,nuevo_atractor
garbemos,factoras,1db572e5,1db572e5..54247d38,adonizais,0.6516,nuevo_atractor
totalizasemos,majaderearemos,5cb5361b,5cb5361b..b4fe0bc8,somorgujarais,0.6269,nuevo_atractor
chascosas,mirabeles,93c2a99f,93c2a99f..f6697c4a,inopinable,1.4718,nuevo_atractor
falleis,enmangaren,334ee1da,334ee1da..c8d172d4,puparemos,1.5145,nuevo_atractor
renvalsas,amohosasteis,69cbc830,69cbc830..533b002f,hubieren,1.1856,nuevo_atractor
consumiais,garbaron,636f92ea,636f92ea..888e547d,tumultuaren,1.1309,nuevo_atractor
destocareis,apelariais,97d7367f,97d7367f..949376c7,temera,1.4472,nuevo_atractor
pandeabais,cañadas,6376a595,6376a595..767f6743,habrias,1.9061,nuevo_atractor
peguntares,enriqueces,59bbde0e,59bbde0e..644de0bc,diptongada,1.0958,nuevo_atractor
carachosos,abasteces,4222b3c6,4222b3c6..fb5da7f3,barroquizantes,1.3910,nuevo_atractor
adherencias,tallarais,647958d1,647958d1..005b0f76,cutusa,0.4815,nuevo_atractor
equidistariamos,renovare,b8d92e72,b8d92e72..5ffad2dd,agalerados,0.6490,nuevo_atractor
envigamos,vulgadas,758c7168,758c7168..20524331,senderes,0.6901,nuevo_atractor
atetariamos,chingueres,050221d1,050221d1..59739f2f,diptongada,0.3529,nuevo_atractor
naviego,demasiasemos,dab44b28,dab44b28..42e5dcd3,sancionadas,1.5848,nuevo_atractor
doncellas,pleitesia,c10d0fe3,c10d0fe3..4a4b0e58,engrilletarias,0.5793,nuevo_atractor
embrollarais,efectuaras,989be83e,989be83e..d54abe8f,irrespeto,0.4890,nuevo_atractor
recodin,criamientos,66a72ec3,66a72ec3..c8d96ba6,orifiques,1.1871,nuevo_atractor
enrayariamos,enmugrara,d9f225f7,d9f225f7..532929c6,regularizaramos,0.8527,nuevo_atractor
