word,neighbor,distance
encabronaramos,sucosos,0.2672
encabronaramos,imparisilabas,0.2937
encabronaramos,closet,0.2979
encabronaramos,vaticinaste,0.3170
encabronaramos,soniques,0.3170
encabronaramos,empelares,0.3479
encabronaramos,pescuecean,0.3517
encabronaramos,excarcelan,0.3574
encabronaramos,trozadas,0.3596
encabronaramos,pegamientos,0.3765
sobaseis,esmuñe,0.3130
sobaseis,regaceada,0.3203
sobaseis,irrealizable,0.3383
sobaseis,abolsen,0.3446
sobaseis,envisquemos,0.3448
sobaseis,escalmo,0.3474
sobaseis,samas,0.3561
sobaseis,despendolaren,0.3766
sobaseis,machucare,0.3988
sobaseis,arrastradamente,0.4011
acequieis,carean,0.2252
acequieis,sincretismo,0.2482
acequieis,calabrotare,0.2579
acequieis,improbadas,0.2640
acequieis,merendillariamos,0.3017
acequieis,verguearon,0.3029
acequieis,boticarias,0.3073
acequieis,escaperas,0.3132
acequieis,aforramiento,0.3197
acequieis,labradios,0.3303
ilegalizares,cohonestaria,0.2447
ilegalizares,desinvernado,0.2840
ilegalizares,hameces,0.3559
ilegalizares,desencalcadas,0.3563
ilegalizares,apolases,0.3593
ilegalizares,asintiereis,0.3625
ilegalizares,descalcificando,0.3633
ilegalizares,reestrenaseis,0.3713
ilegalizares,tricentesimas,0.3716
ilegalizares,acusadores,0.3746
chochariais,educacional,0.2299
chochariais,propenderian,0.2702
chochariais,achaparrares,0.3114
chochariais,abombara,0.3236
chochariais,penitenciadas,0.3391
chochariais,fajeais,0.3446
chochariais,anginosos,0.3495
chochariais,ejecutaran,0.3538
chochariais,brinda,0.3584
chochariais,obesa,0.3608
remosqueaseis,intrigada,0.1917
remosqueaseis,ramaleaban,0.2111
remosqueaseis,comicheabamos,0.2132
remosqueaseis,calofriais,0.2482
remosqueaseis,empuercare,0.2576
remosqueaseis,piyama,0.2586
remosqueaseis,quijinicuiles,0.2809
remosqueaseis,sanguifiquemos,0.2830
remosqueaseis,emascularan,0.2859
remosqueaseis,derrotaramos,0.2898
cabildeo,entrelargas,0.2561
cabildeo,cabestrantes,0.2619
cabildeo,empavesaron,0.2793
cabildeo,chaguitales,0.2871
cabildeo,lengueteando,0.2988
cabildeo,naipeasen,0.3214
cabildeo,retraduce,0.3237
cabildeo,encornarias,0.3286
cabildeo,remodeles,0.3393
cabildeo,neoclasicos,0.3506
mansurroneeis,litofotografio,0.2326
mansurroneeis,cambrais,0.2383
mansurroneeis,cundundearais,0.2492
mansurroneeis,preconoceriamos,0.2594
mansurroneeis,borbollean,0.2641
mansurroneeis,desembrozad,0.2665
mansurroneeis,despereces,0.2691
mansurroneeis,gelaran,0.2770
mansurroneeis,renovaciones,0.2818
mansurroneeis,diagnosticados,0.2840
ascias,enzacataron,0.2315
ascias,melenudo,0.3046
ascias,amellasemos,0.3237
ascias,plim,0.3421
ascias,encañizaras,0.3437
ascias,profazado,0.3538
ascias,pensionabamos,0.3745
ascias,deceleraron,0.3789
ascias,enfriarias,0.3902
ascias,incomunica,0.3976
aparecieren,embrazando,0.2025
aparecieren,concedieran,0.2551
aparecieren,helmintico,0.2617
aparecieren,sedentarizaras,0.2719
aparecieren,tiqueases,0.3113
aparecieren,encubrireis,0.3138
aparecieren,enjareten,0.3251
aparecieren,oscilaria,0.3366
aparecieren,desalentares,0.3385
aparecieren,abaratase,0.3395
vaciaste,apacienten,0.2739
vaciaste,desfrutariamos,0.3110
vaciaste,chaconas,0.3160
vaciaste,codorniz,0.3346
vaciaste,expelere,0.3406
vaciaste,etarias,0.3644
vaciaste,contramatas,0.3783
vaciaste,moduladoras,0.3789
vaciaste,alfombres,0.3857
vaciaste,herborizando,0.3896
reamaban,desatufaras,0.2059
reamaban,sanroqueños,0.2456
reamaban,retorci,0.2601
reamaban,oscilais,0.2669
reamaban,desenconabais,0.2847
reamaban,atrochais,0.2848
reamaban,desembargaremos,0.2855
reamaban,desaherrojase,0.2857
reamaban,rebosais,0.2960
reamaban,creedora,0.2971
deseaba,desreglaremos,0.2216
deseaba,ojalaba,0.2236
deseaba,tiquear,0.2373
deseaba,enjordanasemos,0.2475
deseaba,descordabas,0.2661
deseaba,guero,0.2824
deseaba,apimpollando,0.2879
deseaba,porvenireño,0.2891
deseaba,husmeados,0.2935
deseaba,excogitada,0.2976
apurar,sangoneras,0.2589
apurar,afincares,0.2752
apurar,barbastrino,0.3087
apurar,guitara,0.3211
apurar,desgargolareis,0.3244
apurar,lisonjeases,0.3247
apurar,acechemos,0.3258
apurar,incomerciables,0.3434
apurar,esclafo,0.3463
apurar,gnomo,0.3481
ajoaceite,funco,0.2102
ajoaceite,gargajeasen,0.2606
ajoaceite,descontrole,0.2875
ajoaceite,aderezad,0.2917
ajoaceite,tapujarian,0.3108
ajoaceite,escanearemos,0.3271
ajoaceite,parahusasemos,0.3353
ajoaceite,estigmatizan,0.3405
ajoaceite,desasisto,0.3406
ajoaceite,enamorad,0.3412
juñereis,jimaria,0.1900
juñereis,abromarais,0.2708
juñereis,linternearia,0.2824
juñereis,bolicheemos,0.2942
juñereis,bachatee,0.3085
juñereis,repagas,0.3211
juñereis,componibles,0.3232
juñereis,embelleceriais,0.3492
juñereis,preterias,0.3498
juñereis,bazuqueras,0.3508
romanceaste,descangayada,0.2393
romanceaste,repapilamos,0.2799
romanceaste,amajanareis,0.2892
romanceaste,amallabamos,0.3036
romanceaste,coincidieremos,0.3067
romanceaste,exuberarias,0.3145
romanceaste,surdiran,0.3221
romanceaste,solicitabas,0.3425
romanceaste,apandara,0.3468
romanceaste,rally,0.3603
compreis,tabuladora,0.2587
compreis,cimbraras,0.2884
compreis,dateando,0.2895
compreis,jauta,0.2900
compreis,somormujarais,0.2940
compreis,desflocaba,0.3221
compreis,resurtira,0.3364
compreis,empuercabais,0.3367
compreis,hederia,0.3627
compreis,translimitareis,0.3769
comprobantes,encostraban,0.1904
comprobantes,chanflearon,0.2115
comprobantes,carcavinara,0.2407
comprobantes,narcotizaras,0.2417
comprobantes,inmortalizaria,0.2419
comprobantes,macizaseis,0.2595
comprobantes,otilasteis,0.2651
comprobantes,acorchamos,0.2862
comprobantes,arrollaseis,0.2917
comprobantes,arremuecos,0.3077
tropezarian,averiguad,0.1425
tropezarian,cachulero,0.2299
tropezarian,modica,0.2526
tropezarian,harreara,0.2631
tropezarian,lejio,0.2778
tropezarian,aplicase,0.2827
tropezarian,prejudiciales,0.2832
tropezarian,salvaren,0.2880
tropezarian,churreis,0.2920
tropezarian,tildaron,0.2956
organista,avivador,0.2313
organista,empadrabamos,0.2546
organista,expondran,0.3594
organista,visitasen,0.3800
organista,papen,0.3832
organista,crinar,0.3948
organista,nayuribes,0.4040
organista,jaricas,0.4096
organista,encanaramos,0.4170
organista,estropeariamos,0.4222
apolismasen,zulacado,0.1585
apolismasen,enfroscara,0.2154
apolismasen,verberariais,0.2320
apolismasen,eslabonados,0.2343
apolismasen,rumiacos,0.2560
apolismasen,encarpeteis,0.2625
apolismasen,caparras,0.2641
apolismasen,desarraigada,0.2656
apolismasen,alfalfaras,0.2658
apolismasen,desentorpezco,0.2716
gastivas,danzon,0.2056
gastivas,solucioneis,0.2596
gastivas,ruborizaron,0.2670
gastivas,rebordeas,0.2905
gastivas,condenariais,0.2990
gastivas,empotrerais,0.3030
gastivas,emburujabas,0.3551
gastivas,descangayase,0.3791
gastivas,amedrentareis,0.3818
gastivas,repantingasemos,0.3863
persuaden,malquisieremos,0.1532
persuaden,cementasemos,0.2339
persuaden,prefijad,0.2499
persuaden,tacañas,0.2567
persuaden,beborroteabamos,0.2672
persuaden,desgraciaremos,0.2704
persuaden,horqueteare,0.2726
persuaden,hoces,0.2756
persuaden,acotases,0.2817
persuaden,desafilareis,0.2829
molieremos,crupal,0.1682
molieremos,corroborativo,0.2242
molieremos,ciervo,0.2247
molieremos,construis,0.2695
molieremos,alarguen,0.2938
molieremos,ejecutoriarias,0.2967
molieremos,largareis,0.2996
molieremos,piaban,0.3103
molieremos,lulista,0.3135
molieremos,areguenses,0.3219
fermento,compondria,0.1989
fermento,encobrada,0.2168
fermento,peluquean,0.2347
fermento,reacuñasteis,0.2438
fermento,maliciariamos,0.2626
fermento,necesitamos,0.2632
fermento,congenitos,0.2658
fermento,desmotas,0.2709
fermento,desencadenara,0.2732
fermento,fortalecisteis,0.2836
encaparen,inculcar,0.3466
encaparen,fanfarronearian,0.3511
encaparen,denantes,0.3890
encaparen,desfamaran,0.3932
encaparen,encomenzar,0.4050
encaparen,acola,0.4062
encaparen,desbautizaste,0.4234
encaparen,desnortando,0.4253
encaparen,totoreco,0.4371
encaparen,amarilleceras,0.4434
tercerean,contaminasteis,0.2130
tercerean,escoyo,0.2379
tercerean,avalente,0.2605
tercerean,vaporea,0.3267
tercerean,afoticos,0.3357
tercerean,interesaron,0.3395
tercerean,cuarentenas,0.3461
tercerean,estriberos,0.3474
tercerean,despegamiento,0.3553
tercerean,descarcañaladas,0.3606
entoraba,regacearen,0.2720
entoraba,abastado,0.2828
entoraba,desangraran,0.2900
entoraba,desagraciais,0.2911
entoraba,zancajada,0.2990
entoraba,engalabernado,0.3030
entoraba,dilucidais,0.3286
entoraba,escureced,0.3308
entoraba,ventajee,0.3328
entoraba,pintipararias,0.3382
escuadronaba,alampases,0.1780
escuadronaba,entreguen,0.2104
escuadronaba,ludopatia,0.2170
escuadronaba,postulada,0.2260
escuadronaba,remostabas,0.2891
escuadronaba,platal,0.2994
escuadronaba,oportunidades,0.3008
escuadronaba,secretear,0.3206
escuadronaba,fajador,0.3272
escuadronaba,entechasen,0.3329
adolores,entrapazasen,0.2457
adolores,pintipararas,0.2513
adolores,entremetierais,0.2522
adolores,chirmolosos,0.2554
adolores,convivieren,0.2707
adolores,sostenible,0.2712
adolores,desaparejaren,0.2863
adolores,desencajeis,0.2935
adolores,desincrustarian,0.3020
adolores,ferodo,0.3026
besucaras,sobresaltaran,0.1923
besucaras,licurgos,0.2599
besucaras,aljofarase,0.2769
besucaras,hinojaste,0.3048
besucaras,lambisqueasen,0.3138
besucaras,cite,0.3180
besucaras,cicatearemos,0.3185
besucaras,motejarias,0.3214
besucaras,roido,0.3278
besucaras,chiribitil,0.3410
estilete,rebujases,0.1986
estilete,heredaremos,0.1992
estilete,guerrearas,0.2342
estilete,escribanillos,0.2375
estilete,sombrerearamos,0.2451
estilete,bisbiseo,0.2468
estilete,jarabearas,0.2515
estilete,encebadareis,0.2808
estilete,zapad,0.2864
estilete,motivo,0.2928
cariñad,esmuyo,0.2583
cariñad,muchachearia,0.3018
cariñad,desemborracha,0.3395
cariñad,desabollemos,0.3474
cariñad,arrezagasteis,0.3685
cariñad,propulsaba,0.3752
cariñad,preterian,0.3753
cariñad,guito,0.3814
cariñad,preveniais,0.3845
cariñad,facheamos,0.3866
encostalen,desfilachariamos,0.2094
encostalen,reprendan,0.2351
encostalen,procesaste,0.2610
encostalen,ojetearia,0.2663
encostalen,mimeografiaron,0.2804
encostalen,confutabais,0.3093
encostalen,desagraviaste,0.3245
encostalen,compulsando,0.3269
encostalen,deslegalizas,0.3317
encostalen,revezabais,0.3442
granallando,horraras,0.1431
granallando,logre,0.1995
granallando,obtuvieren,0.2671
granallando,inventariaras,0.2938
granallando,vorahundas,0.3063
granallando,ferromagnetico,0.3169
granallando,enjicaras,0.3323
granallando,jarabeados,0.3589
granallando,fastidieta,0.3614
granallando,antorchas,0.3616
desmotiven,descrecieseis,0.2056
desmotiven,languor,0.2058
desmotiven,desgreñases,0.2901
desmotiven,desformarian,0.3012
desmotiven,multiparas,0.3048
desmotiven,alanceariais,0.3153
desmotiven,intercesor,0.3246
desmotiven,postula,0.3270
desmotiven,resistirian,0.3327
desmotiven,pasquinaron,0.3564
embasteceria,alelamientos,0.1962
embasteceria,pecharamos,0.2625
embasteceria,escaecieran,0.2639
embasteceria,sopearias,0.2938
embasteceria,prensare,0.3107
embasteceria,rareado,0.3267
embasteceria,pequeñarra,0.3295
embasteceria,indisciplinasen,0.3376
embasteceria,demeritando,0.3415
embasteceria,aprisque,0.3424
solidarizase,acriollasemos,0.2422
solidarizase,turqueabamos,0.2541
solidarizase,chorrocientas,0.2554
solidarizase,consolaramos,0.2683
solidarizase,arreciste,0.2931
solidarizase,charrabamos,0.3113
solidarizase,anduvieren,0.3202
solidarizase,junceos,0.3266
solidarizase,raleo,0.3421
solidarizase,estucar,0.3485
reorganizaras,grumosas,0.2701
reorganizaras,menstruariais,0.2774
reorganizaras,transvasareis,0.3252
reorganizaras,sucumbiera,0.3285
reorganizaras,tlameme,0.3423
reorganizaras,culebrearemos,0.3468
reorganizaras,trasminen,0.3477
reorganizaras,banderear,0.3623
reorganizaras,quinquenervia,0.3698
reorganizaras,corroyeremos,0.3767
descaudalada,acaudillar,0.2454
descaudalada,abarrotad,0.2504
descaudalada,refrenasemos,0.2700
descaudalada,engalien,0.2809
descaudalada,enhastiaren,0.3091
descaudalada,reiterar,0.3211
descaudalada,suplantaseis,0.3249
descaudalada,alibriestabamos,0.3402
descaudalada,ocuparen,0.3476
descaudalada,esparvarias,0.3489
unilateral,aditivos,0.1645
unilateral,presentaramos,0.1784
unilateral,contradictorias,0.1838
unilateral,mencionasteis,0.1857
unilateral,esclafa,0.1923
unilateral,remudare,0.2002
unilateral,afofarais,0.2243
unilateral,hiñerais,0.2279
unilateral,incomunicaren,0.2500
unilateral,entintasteis,0.2555
normalidad,agorgojaste,0.2670
normalidad,mirle,0.2999
normalidad,menorquines,0.3616
normalidad,insubordinabais,0.3627
normalidad,paralogizando,0.3635
normalidad,irreprochable,0.3636
normalidad,contraindica,0.3716
normalidad,engasgarse,0.3754
normalidad,embrochaladas,0.3760
normalidad,comisqueas,0.3831
contrajeramos,azagaran,0.1773
contrajeramos,empaquetadora,0.2282
contrajeramos,burielado,0.2361
contrajeramos,otorgarais,0.2412
contrajeramos,interrogaramos,0.2422
contrajeramos,achubascarias,0.2531
contrajeramos,explotan,0.2647
contrajeramos,embadurnada,0.2690
contrajeramos,clasificariais,0.2752
contrajeramos,prospera,0.2860
runruneares,rocosa,0.2449
runruneares,realquilaren,0.3336
runruneares,acopiaren,0.3338
runruneares,predestinando,0.3352
runruneares,atrofiais,0.3356
runruneares,reseques,0.3386
runruneares,deshonrabais,0.3447
